iter	Passed	Remaining
460	773	904
461	774	901
462	775	899
463	776	897
464	777	894
465	779	893
466	780	890
467	781	888
468	782	885
469	782	882
470	783	880
471	784	878
472	786	876
473	787	873
474	788	871
475	788	868
476	789	865
477	790	863
478	791	860
479	792	858
480	793	856
481	795	854
482	796	852
483	797	850
484	798	847
485	799	845
486	800	842
487	801	841
488	802	838
489	803	836
490	804	834
491	805	831
492	806	829
493	807	826
494	808	824
495	809	822
496	810	820
497	811	817
498	812	815
499	813	813
500	813	810
501	815	808
502	817	807
503	818	805
504	819	803
505	820	800
506	821	798
507	822	796
508	823	794
509	825	792
510	826	790
511	827	788
512	828	786
513	830	784
514	831	783
515	833	781
516	834	780
517	836	778
518	837	775
519	839	774
520	840	772
521	841	770
522	843	769
523	844	766
524	845	765
525	847	763
526	848	761
527	849	759
528	850	757
529	851	755
530	853	754
531	855	752
532	856	750
533	858	748
534	860	747
535	861	745
536	863	744
537	864	742
538	865	740
539	866	738
540	867	736
541	869	734
542	870	732
543	871	730
544	872	728
545	873	726
546	874	724
547	876	722
548	876	720
549	877	718
550	879	716
551	879	714
552	881	712
553	882	710
554	883	708
555	884	706
556	885	704
557	886	702
558	887	699
559	888	697
560	888	695
561	890	693
562	891	692
563	893	690
564	893	688
565	894	686
566	895	683
567	896	681
568	897	680
569	899	678
570	900	676
571	901	674
572	901	672
573	902	669
574	903	667
575	904	665
576	905	663
577	907	662
578	908	660
579	908	658
580	909	656
581	910	653
582	911	651
583	912	649
584	914	648
585	915	646
586	915	644
587	916	642
588	917	640
589	918	638
590	919	636
591	920	634
592	921	632
593	922	630
594	923	628
595	924	626
596	925	624
597	925	622
598	926	620
599	927	618
600	929	616
601	930	614
602	930	612
603	931	610
604	932	608
605	933	606
606	934	604
607	935	603
608	937	601
609	938	599
610	939	598
611	940	596
612	941	594
613	942	592
614	943	590
615	945	589
616	946	587
617	947	585
618	948	583
619	949	581
620	951	580
621	952	579
622	954	577
623	955	575
624	956	573
625	958	572
626	959	570
627	960	569
628	962	567
629	963	565
630	964	564
631	965	562
632	967	560
633	968	559
634	969	557
635	970	555
636	972	553
637	973	552
638	975	550
639	976	549
640	977	547
641	978	545
642	979	544
643	982	542
644	983	541
645	984	539
646	985	537
647	986	536
648	988	534
649	990	533
650	991	531
651	993	530
652	994	528
653	996	527
654	998	525
655	999	524
656	1000	522
657	1001	520
658	1003	519
659	1005	517
660	1006	515
661	1007	514
662	1008	512
663	1009	511
664	1011	509
665	1012	507
666	1014	506
667	1015	504
668	1016	503
669	1018	501
670	1019	499
671	1020	498
672	1021	496
673	1024	495
674	1026	494
675	1027	492
676	1028	490
677	1028	488
678	1029	486
679	1030	484
680	1031	483
681	1032	481
682	1033	479
683	1034	477
684	1035	476
685	1036	474
686	1037	472
687	1038	471
688	1040	469
689	1041	467
690	1042	466
691	1043	464
692	1043	462
693	1044	460
694	1045	458
695	1046	457
696	1048	455
697	1049	454
698	1050	452
699	1051	450
700	1052	449
701	1053	447
702	1055	445
703	1056	444
704	1057	442
705	1058	440
706	1058	438
707	1059	437
708	1060	435
709	1061	433
710	1063	432
711	1064	430
712	1065	428
713	1066	427
714	1067	425
715	1068	423
716	1069	422
717	1070	420
718	1071	418
719	1072	417
720	1073	415
721	1074	413
722	1075	411
723	1076	410
724	1078	408
725	1079	407
726	1080	405
727	1081	404
728	1082	402
729	1083	400
730	1085	399
731	1086	397
732	1087	396
733	1088	394
734	1089	392
735	1090	391
736	1091	389
737	1093	388
738	1094	386
739	1095	384
740	1096	383
741	1097	381
742	1098	379
743	1099	378
744	1100	376
745	1102	375
746	1103	373
747	1104	371
748	1105	370
749	1106	368
750	1107	367
751	1109	365
752	1110	364
753	1111	362
754	1112	360
755	1113	359
756	1114	357
757	1115	356
758	1116	354
759	1117	352
760	1118	351
761	1119	349
762	1120	347
763	1120	346
764	1122	344
765	1123	343
766	1124	341
767	1125	340
768	1126	338
769	1127	336
770	1128	335
771	1129	333
772	1130	332
773	1132	330
774	1133	328
775	1134	327
776	1135	325
777	1135	324
778	1137	322
779	1139	321
780	1140	319
781	1141	318
782	1142	316
783	1143	315
784	1144	313
785	1146	312
786	1146	310
787	1147	308
788	1148	307
789	1149	305
790	1150	303
791	1151	302
792	1152	300
793	1154	299
794	1155	297
795	1156	296
796	1156	294
797	1157	293
798	1158	291
799	1159	289
800	1161	288
801	1162	287
802	1163	285
803	1164	283
804	1165	282
805	1166	280
806	1168	279
807	1169	277
808	1170	276
809	1171	274
810	1172	273
811	1172	271
812	1173	269
813	1174	268
814	1175	266
815	1177	265
816	1177	263
817	1178	262
818	1179	260
819	1180	259
820	1181	257
821	1182	255
822	1183	254
823	1184	253
824	1185	251
825	1186	249
826	1187	248
827	1188	246
828	1189	245
829	1190	243
830	1192	242
831	1192	240
832	1193	239
833	1194	237
834	1195	236
835	1196	234
836	1197	233
837	1198	231
838	1200	230
839	1200	228
840	1201	227
841	1202	225
842	1203	224
843	1204	222
844	1205	221
845	1206	219
846	1207	218
847	1208	216
848	1209	215
849	1210	213
850	1211	212
851	1212	210
852	1215	209
853	1216	207
854	1217	206
855	1218	204
856	1219	203
857	1221	202
858	1222	200
859	1223	199
860	1224	197
861	1225	196
862	1226	194
863	1227	193
864	1229	191
865	1230	190
866	1231	188
867	1232	187
868	1233	186
869	1235	184
870	1236	183
